FEATURE_ID,FEATURE_NA,LATITUDE,LONGITUDE,OID_,FEATURE__1,FEATURE__2,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIMARY_LO,PRIMARY__1,PRIMARY__2,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEVATION,MAP_NAME
      909151.000000,North Fork Rio Quemado,          36.003915,        -105.705017,34846,909151,North Fork Rio Quemado,Stream,NM,35,Rio Arrib,39,360014N,1054218W,                 36,               -106,355833N,1053832W,35.97586,-105.642,2751,El Valle
      909152.000000,North Fork Rio Ruidoso,          33.336470,        -105.741931,34847,909152,North Fork Rio Ruidoso,Stream,NM,35,Otero,35,332011N,1054431W,                 33,               -106,332250N,1054817W,33.38063,-105.805,2242,Ruidoso
      909153.000000,North Fork Salado Creek,          33.572856,        -105.604983,34848,909153,North Fork Salado Creek,Stream,NM,35,Lincoln,27,333422N,1053618W,                 34,               -106,333755N,1053757W,33.63202,-105.632,2012,Capitan
      909154.000000,North Fork Tennessee Creek,          33.103954,        -109.023398,34849,909154,North Fork Tennessee Cr,Stream,NM,35,Grant,17,330614N,1090124W,                 33,               -109,330645N,1090226W,33.1125,-109.041,1723,Big Lue M
      909155.000000,North Fork Tesuque Creek,          35.765030,        -105.816964,34850,909155,North Fork Tesuque Cree,Stream,NM,35,Santa Fe,49,354554N,1054901W,                 36,               -106,354701N,1054708W,35.78361,-105.786,2819,Aspen Bas
      909163.000000,North Hollow Creek,          32.743689,        -107.651141,34851,909163,North Hollow Creek,Stream,NM,35,Sierra,51,324437N,1073904W,                 33,               -108,324638N,1073942W,32.7773,-107.662,1727,Whiterock
      909173.000000,North Moreno Creek,          36.654475,        -105.285283,34852,909173,North Moreno Creek,Stream,NM,35,Colfax,7,363916N,1051707W,                 37,               -105,364333N,1051724W,36.72583,-105.29,2633,Red River
      909175.000000,North Percha Creek,          32.922018,        -107.571141,34853,909175,North Percha Creek,Stream,NM,35,Sierra,51,325519N,1073416W,                 33,               -108,325756N,1074645W,32.96563,-107.779,1609,Hillsboro
      909177.000000,North Ponil Creek,          36.586423,        -104.966390,34854,909177,North Ponil Creek,Stream,NM,35,Colfax,7,363511N,1045759W,                 37,               -105,364939N,1050733W,36.82753,-105.126,2063,Cimarron
      909178.000000,North Prong Circle Seven Creek,          33.222015,        -107.790870,34855,909178,North Prong Circle Seve,Stream,NM,35,Sierra,51,331319N,1074727W,                 33,               -108,331451N,1074939W,33.2475,-107.828,2101,Reeds Pea
      909181.000000,North Rocky Arroyo,          32.352328,        -104.774128,34856,909181,North Rocky Arroyo,Stream,NM,35,Eddy,15,322108N,1044627W,                 32,               -105,322213N,1045704W,32.37038,-104.951,1417,Ares Peak
      909238.000000,Oak Grove Creek,          32.610635,        -108.185600,34857,909238,Oak Grove Creek,Stream,NM,35,Grant,17,323638N,1081108W,                 33,               -108,323647N,1082349W,32.61313,-108.397,1592,Whitewate
      909255.000000,Ocate Creek,          36.249476,        -104.469428,34858,909255,Ocate Creek,Stream,NM,35,Colfax,7,361458N,1042810W,                 36,               -104,361247N,1050412W,36.21309,-105.07,1688,Jaritas R
      909267.000000,Ojito Chico,          36.468350,        -106.271137,34859,909267,Ojito Chico,Stream,NM,35,Rio Arrib,39,362806N,1061616W,                 36,               -106,362813N,1061516W,36.47028,-106.254,2524,Mogote Pe
      909284.000000,Ojitos Frios Creek,          35.513654,        -105.318899,34860,909284,Ojitos Frios Creek,Stream,NM,35,San Migue,47,353049N,1051908W,                 36,               -105,353114N,1051846W,35.52056,-105.313,1957,Ojitos Fr
      909363.000000,Ortega Creek,          35.485593,        -105.801684,34861,909363,Ortega Creek,Stream,NM,35,Santa Fe,49,352908N,1054806W,                 35,               -106,353340N,1054640W,35.56115,-105.778,2161,Bull Cany
      909388.000000,Oso Creek,          36.115851,        -106.767261,34862,909388,Oso Creek,Stream,NM,35,Rio Arrib,39,360657N,1064602W,                 36,               -107,360643N,1064837W,36.11194,-106.81,2825,Nacimient
