X,Y,ObjectId,Locationid,Permitid,Site_Name,Address1,City,Zip,County,Primarywaste_Type,Primaryoperation_Type,Permitstatus,Permitexpdate,Latitude,Longitude,Status
-8757661.0785,4260665.2609,32,P0409,92O-LCID-,Buffaloe Landfill,5525 Wake Academy Drive,Raleigh,27603,Wake,LCID,LF,InactiveClosed,11/15/2015,35.709084,-78.671408,Closed
-8760563.9569,4292574.9825,33,P0410,92L-LCID-,"Colonial Building Co., Inc.",Norwood Road (S.R. 1834),Raleigh,27614,Wake,LCID,LF,InactiveClosed,-,35.941501,-78.697485,Closed
-8771459.1294,4254594.6207,34,P0411,92N-LCID-1986,Currin Brothers Landfill,4525 Sunset Lake Road,Holly Springs,27526,Wake,LCID,LF,Active,6/3/2020,35.664791,-78.795358,Open
-8728110.0952,4266908.5455,35,P0412,92Q-DEMO-,Marshburn Demo Landfill,Lake Myra Road (S.R. 2505),Wendell,27591,Wake,CD,LF,InactiveClosed,-,35.754611,-78.405947,Closed
-8741465.2058,4256778.9119,36,P0413,92P-LCID-,"Massengill & Sons, Inc.",Guy Road (S.R.2558),Garner,27520,Wake,LCID,LF,InactiveClosed,-,35.680731,-78.525918,Closed
-8743654.1923,4286856.9059,37,P0414,92R-LCID-,Neuse Demo Landfill,Wayne Adams Thornton,Raleigh,27616,Wake,LCID,LF,InactiveClosed,-,35.899903,-78.545582,Closed
-8762761.181,4291658.6067,38,P0415,92K-DEMO-,Robuck Landfill,Victory Church Road,Raleigh,27613,Wake,CD,LF,InactiveClosed,-,35.934836,-78.717223,Closed
-8748194.3577,4284330.792,39,P0416,92M-LCID-,Wall Recycling LCID Landfill,3000 Gresham Lake Road,Raleigh,27615,Wake,LCID,LF,Active,2/7/2023,35.881519,-78.586367,Open
-8903011.049,4339804.8301,40,P0417,79G-LCID-,Thomas L. Stanley Demo,Gideon Church Road,Stokesdale,27357,Rockingham,LCID,LF,InactiveClosed,-,36.284252,-79.977109,Closed
-8762081.1303,4318627.0413,41,P0421,39A-DEMO-,Lewis Dull Landfill,Lake Road / Hwy 56,Dutchville,27522,Granville,CD,LF,InactiveClosed,-,36.130748,-78.711114,Closed
-9019751.2424,4208217.5273,42,P0422,36A-LCID-,Old 27 LCID Landfill,123 Tate Street,Mount Holly,28120,Gaston,LCID,LF,InactiveClosed,-,35.325601,-81.025804,Open
-9019751.2424,4208217.5273,43,P0422,36A-LCID-2010,Old 27 LCID Landfill,123 Tate Street,Mount Holly,28120,Gaston,LCID,LF,Active,10/21/2020,35.325601,-81.025804,Open
-8652291.1693,4295424.2843,44,P0424,33D-LCID-,Barnhill Contracting - Gay Pit,Gay Road (S.R. 1268),Rocky Mount,27801,Edgecombe,LCID,LF,InactiveClosed,-,35.962221,-77.724854,Closed
-8780470.3309,4160657.7503,45,P0425,26J-LCID-,Andrews Site,Doc Bennett Road,Fayetteville,28306,Cumberland,LCID,LF,InactivePermitted,-,34.976277,-78.876307,Closed
-8903000.9189,4352880.2807,46,P0426,79H-DEMO-,Wall Demo Landfill,500 Benjamin Road,Madison,27025,Rockingham,CD,LF,InactiveClosed,-,36.378877,-79.977018,Closed
